"LinkID","AveSpeed","SDSpeed","Flow","Idling","CO2","NOx","linkLength"
90,12.4603284313725,0.125459953441058,62,0.000490196078431373,30511.0996,21.7810001,0.26305119914
91,12.5323964757709,0.123832037980187,58,0.000881057268722467,17245.5,12.3125,0.16009002444
92,12.7077606177606,0.125803191801938,57,0,12143.0996,8.64023972,0.11760067546
93,11.619420935412,0.283555657323198,6,0.0400890868596882,7588.74023,5.29601002,0.54752105665
94,10.6917788461538,0.314554701618494,86,0.00360576923076923,23678.0996,15.8140001,0.07018385445
95,11.8277664974619,0.271321240829831,15,0.0050761421319797,5146.3999,3.48462009,0.10127725929
96,11.0643414634146,0.407613555583532,11,0.0585365853658537,5456.52002,3.73192,0.13499906346
97,10.1825449640288,0.718126753156977,76,0.0953237410071942,35769.3984,23.7105007,0.09757388813
98,5.39938837920489,1.51063345624756,11,0.571865443425077,6049.54004,4.28767014,0.10332156988
99,6.34617747440273,1.30186191007895,13,0.491467576791809,6414.5498,4.39757013,0.0978659325
100,9.9696218487395,0.782363054868781,17,0.23109243697479,7019.04004,4.73632002,0.09707679133
101,7.02848739495798,1.21714873128661,22,0.407563025210084,10396.7002,7.11014986,0.09940071887
102,14.2830124223602,0.461524549803182,34,0.0031055900621118,11910.7998,7.96838999,0.0978037954
103,11.9227049180328,0.217196476659031,13,0.00546448087431694,8546.2998,5.91132021,0.22980785064
104,12.3732807570978,0.226603629625083,7,0.0157728706624606,6310.6001,4.38948011,0.3550513894
105,12.4182627118644,0.212587604322525,22,0,5280.95996,3.66527009,0.09073880713
106,12.634797979798,0.212416377559414,14,0.00505050505050505,4574.25,3.1605401,0.11592918747
107,10.6166872682324,0.275045230450286,92,0.00247218788627936,24975,16.5774002,0.06454180577
108,10.8418138801262,0.356068846925569,68,0.0220820189274448,16831.1992,11.4917002,0.06836945113
109,20.9613714285714,0.145274754351142,59,0,5715.2998,3.97367001,0.05171049462
110,13.7033488372093,0.635788834180101,90,0.144767441860465,45283.8984,30.9081001,0.16749055305
111,19.9678260869565,0.185262288890181,87,0.00217391304347826,13350.4004,9.27509975,0.07932422186
112,21.0087545787546,0.143196258911585,59,0,8381.41016,5.83768988,0.07417305627
113,20.6751798561151,0.123750021681217,82,0,8359.19043,5.82961988,0.05674981343
114,20.7047457627119,0.124830271893064,81,0,8598.32031,6.02314997,0.05953355551
115,14.8127620221948,0.457997445725997,105,0.00493218249075216,27000.6992,18.1674995,0.07631678622
116,19.9833333333333,0.215414546384674,60,0.00387596899224806,8120.9502,5.62213993,0.06725719704
117,12.7415661861075,0.186086572612596,35,0.00131061598951507,27719.1992,19.5660992,0.35840057909
118,13.3539215686275,0.108977859203948,26,0.00130718954248366,11819.4004,8.45446968,0.2551970697
119,13.3094,0.0994712424932281,23,0,14977.5996,10.7090998,0.36445894634
120,11.0981932773109,0.408105662137645,39,0.00420168067226891,10532.4004,6.9660902,0.05423326088
121,21.6049723756906,0.137691632702325,28,0,5320.5,3.7111001,0.10193591255
122,22.1562080536913,0.123815998546754,28,0,8854.61035,6.17566013,0.16036964139
123,13.8983716814159,0.677871243799908,15,0.249557522123894,13196.2002,9.12607956,0.33043267038
124,21.2626206896552,0.090534270388746,36,0,7687.24023,5.35054016,0.1197381917
125,19.3143854473943,0.230904079801396,40,0.00294985250737463,25790.8008,17.7772999,0.33191774707
126,18.0918106995885,0.293032804134853,88,0.00411522633744856,8813.19043,6.04477978,0.04412976842
127,20.1909893992933,0.1731769281374,69,0,8494.55957,5.8927002,0.06408820494
128,19.1578181818182,0.237780144811738,63,0.00363636363636364,9335.37988,6.40022993,0.06680359621
129,12.7878278688525,0.140685673008496,11,0,4673.6001,3.27287006,0.18102401343
130,13.2735467980296,0.103595759300396,11,0,3042.66992,2.17898011,0.16246366166
131,12.4235187287174,0.16116054529324,13,0.00340522133938706,13647.4004,9.65863991,0.5340683745
132,11.9609114583333,0.218979131652928,149,0.00104166666666667,43833,30.2043991,0.1008485133
133,11.125568627451,0.20300365222488,5,0.0117647058823529,4091.32007,2.83014989,0.36265697044
134,13.1694594594595,0.0999641575483897,7,0,4548.62988,3.21859002,0.32138550862
135,12.2805255681818,0.207900795834744,55,0,15658.5,10.8266001,0.10290525131
136,13.1481611570248,0.111997086671674,42,0,7898.97998,5.63145018,0.10287418276
137,12.0657093425606,0.260872318779055,10,0.0242214532871972,11333.4004,7.92327023,0.44259634959
138,12.3790053763441,0.195370071008397,17,0.00268817204301075,7178.89014,5.01734018,0.17362969853
139,11.5567304015296,0.22495844890524,48,0,12446.0996,8.52462006,0.0846928673
140,12.0355882352941,0.22327702911408,19,0.00735294117647059,12155.5,8.34854984,0.22307840271
141,12.81859375,0.137702752708969,11,0,3240.46997,2.31963992,0.14795464881
142,12.9753023255814,0.069826602579457,8,0,3112.3999,2.23771,0.22553281816
143,11.8081990521327,0.220722301346326,22,0,5682.49023,3.88926005,0.0810889155
144,3.99110655737705,1.47928561473236,14,0.581967213114754,3709.26001,2.71148992,0.04761565973
145,11.3550454545455,0.236529475139738,17,0,5360.87988,3.58234,0.09902789627
146,11.471,0.253637415530384,26,0.004,6130.7002,4.15777016,0.07281846749
147,17.7442772277228,0.293876015901632,25,0.00198019801980198,14119.7998,9.65697002,0.2379229559
148,20.3579470198675,0.127926402292007,25,0,14149,9.88055992,0.32213736753
149,12.6602295583734,0.092533728845794,19,0.000874508089199825,64140.1016,46.2131996,1.92900277353
150,20.5832960893855,0.136293107919058,27,0,5176.89014,3.6052599,0.1003514165
151,20.2786345381526,0.155314903916079,19,0,6676.14014,4.6226902,0.18383882406
152,20.5632544378698,0.173884169138788,39,0,5392,3.73119998,0.06846265678
153,15.0344340425532,0.344834025532197,135,0,48551.8008,32.6417999,0.09624415419
154,10.3792342342342,0.381230349516767,16,0.0585585585585586,5536.04004,3.70353007,0.09644299291
155,12.3859736842105,0.151669026887779,11,0.00526315789473684,6375.18018,4.49487019,0.27485724814
156,12.3595544554455,0.146901778701886,13,0,2952.75,2.12904,0.12873564378
157,11.3504932735426,0.463450191678234,5,0.0941704035874439,4765.79004,3.29254007,0.31691785113
158,7.45908893709328,0.755045253918194,23,0.238611713665944,11784.2002,7.96782017,0.09785971879
159,12.5728042959427,0.120839948675534,87,0,13691.4004,9.76603031,0.08338177449
160,12.2369837587007,0.190466203091254,25,0,8522.50977,5.9127202,0.13716764825
161,12.4341062801932,0.222797482427803,8,0.0144927536231884,4165.5,2.92235994,0.23691633488
162,8.70668769716088,1.05210947568986,37,0.369085173501577,14072.4004,9.7519598,0.09558550093
163,5.4822049689441,1.40348143267149,12,0.524844720496894,6146.22998,4.22905016,0.09768573491
164,12.8480102040816,0.180882649820062,16,0,3201.19995,2.29766989,0.10609288454
165,20.325085995086,0.172034587195768,28,0.00245700245700246,10450.5,7.26351976,0.1931221068
166,17.168311965812,0.318326910436257,32,0.00427350427350427,14815.9004,10.0565004,0.17290269446
167,11.8370740740741,0.248694482177155,16,0,5602.29004,3.87489009,0.12923895429
168,20.1857763975155,0.112836712821689,120,0,6544.72021,4.57491016,0.02896831602
169,19.7420675105485,0.192874835149472,48,0.00105485232067511,49224.6016,33.9207993,0.49848245733
170,11.7970813397129,0.231889025720648,7,0.00478468899521531,3393.40991,2.3936801,0.22642137869
171,12.7862177250523,0.143597073523447,35,0,24087.6992,17.0541992,0.33429138429
172,12.2421990740741,0.238474748524299,12,0.00925925925925926,8585.28027,6.00102997,0.28459413171
173,12.3103286384977,0.146514963322741,22,0,4814.43994,3.31748009,0.0838229479
174,12.1622294372294,0.216857075510955,12,0.00432900432900433,8462.19043,5.88955021,0.3117418307
175,11.9300920245399,0.333323453337999,12,0.049079754601227,6738.02979,4.69546986,0.20699732123
176,12.7937828627069,0.116777615155089,148,0,32159.4004,22.9985008,0.11939643765
177,12.7789784946237,0.107364697562906,49,0,3527.13989,2.51575994,0.03984230852
178,12.4197701149425,0.142917360146499,32,0,3235.20996,2.28705001,0.04933064369
179,11.4452351097179,0.251672544234198,10,0.00940438871473354,6946.02002,4.82018995,0.25785653758
180,11.7536714975845,0.214954972333203,27,0,5351.41992,3.6573,0.0595273418
181,13.0704984423676,0.111007003440753,38,0,5753.16016,4.09714985,0.07684495157
182,12.9232986111111,0.150709785723322,35,0.00347222222222222,4769.79004,3.42921996,0.07336527397
183,11.8994418604651,0.22071650575464,59,0,27511.5996,18.7917995,0.14232502755
184,12.8383884297521,0.169753501462943,11,0,4632.52979,3.22761989,0.18076925132
185,11.3057446808511,0.266063513327068,48,0,6962.22998,4.72720003,0.03998522385
186,12.0720788530466,0.198269047363447,11,0,5894.85986,4.07561016,0.19865852241
187,12.6153367875648,0.157071747874535,9,0.00518134715025907,3071.66992,2.17865992,0.17543788814
188,12.135101010101,0.217591420463972,20,0,5119.93994,3.52780008,0.08289710511
189,10.1357551020408,0.413207951442585,62,0.0244897959183673,11262.2002,7.39523983,0.0348589131
190,11.4683266932271,0.300171726835493,36,0.00398406374501992,6734.27002,4.57444,0.05401578103
191,11.1997716894977,0.30997611744435,22,0,4917.04004,3.36676002,0.07432839902
192,12.8982089552239,0.123001146782821,22,0,2969.63989,2.15368009,0.08120076228
193,12.9264792176039,0.178463068197833,7,0.00733496332518337,7197.18018,5.09273005,0.47875392808
194,20.1424684684685,0.195591435648159,17,0.00540540540540541,25891.5996,17.9239006,0.83199712787
195,15.8915241635688,0.412053107828082,32,0.00371747211895911,9669.32031,6.48964977,0.09623794048
196,20.226525974026,0.181904078063517,46,0.00324675324675325,8717.40039,6.0156498,0.0979280696
197,15.1515349444807,0.32406755077184,174,0.000653167864141084,62975.8008,42.3827019,0.09788457363
198,18.0644132917965,0.281968827688122,127,0.00415368639667705,30514.5,20.8516006,0.0978659325
199,7.7033756464504,0.754450069000458,100,0.242595204513399,51019.8008,34.6111984,0.1070622233
200,12.8061085972851,0.149205118544158,4,0.00452488687782805,3295.17993,2.35404992,0.45014600724
201,10.593382045929,0.449559356137086,30,0.11482254697286,10340.5996,7.19710016,0.10956013472
202,13.6559870550162,0.134627854582998,7,0,4324.06006,3.13544989,0.38383950783
203,12.241953125,0.201069200440943,14,0.0078125,4797.62988,3.35237002,0.14934651985
204,12.1359583333333,0.246608856265173,7,0.0166666666666667,4789.24023,3.33026004,0.26620776382
205,11.4414190687361,0.43128934752618,8,0.121951219512195,10356.4004,7.20966005,0.40687994451
206,12.5039130434783,0.100696070552387,14,0,3515.43994,2.51258993,0.13602432561
207,12.8914676616915,0.109912536466419,78,0,12394.7998,8.87693024,0.09060831922
208,10.4318257261411,0.328049294775107,44,0.024896265560166,8760.87988,5.81475019,0.04435967569
209,12.580472972973,0.212006922460039,6,0.0101351351351351,5962.72021,4.17673016,0.39788249243
210,8.84826517967782,0.607855941937907,50,0.127633209417596,19573.8008,13.3239002,0.09257185158
211,12.3194909090909,0.144388622226424,12,0,4152.25977,2.95049,0.18288191272
212,13.0928624535316,0.0869653432409139,25,0,4184.18018,3.0250299,0.09530588398
213,12.0425172413793,0.271030783531432,18,0.00344827586206897,6678.75977,4.60100985,0.12541130893
214,11.8701333333333,0.297249272942718,8,0.0222222222222222,5161.04004,3.57052994,0.21563437813
215,12.2329207920792,0.15254105882767,33,0,4234.06006,2.91030002,0.05606009162
216,12.5748473282443,0.109650017837505,29,0,3962.56006,2.85867,0.07808769357
217,10.6900510204082,0.443879284774971,11,0.102040816326531,4535.47998,3.12659001,0.12396972821
218,10.8867111111111,0.427452300026892,16,0.0577777777777778,5209.77979,3.53706002,0.10080501733
219,13.7478534031414,0.112866054712374,13,0,5783.37988,4.14187002,0.26016182399
220,12.5350519318654,0.14607447048243,26,0.00166181969256336,38177.1016,27.0851002,0.7360760866
221,0.095,1.41421356237309,2,0.5,12126.7002,20.4473991,0.79275754922
222,12.801228668942,0.197689875944773,11,0.0068259385665529,4751.00977,3.38604999,0.22050592677
223,12.0395437262357,0.199937038902813,6,0.0114068441064639,4648.54004,3.25733995,0.34066665075
224,11.0430371352785,0.361696769477235,43,0.0450928381962865,16877.0996,11.6162004,0.12332350237
225,12.4188823529412,0.178862853644551,44,0.00588235294117647,3195.12012,2.27578998,0.03830752215
226,12.7458175750834,0.143539176723023,41,0.00222469410456062,14311.2998,10.1805,0.18321123935
227,13.3874065420561,0.147209372821248,7,0.00467289719626168,6779.50977,4.83289003,0.51923003502
228,12.0300452488688,0.177509565983681,7,0.00452488687782805,4427.1499,3.10109997,0.24341587554
229,11.5493965517241,0.252370307375419,28,0,6011.06006,4.05505991,0.06508861225
230,11.7851748251748,0.253446060146192,22,0.0034965034965035,8509.75977,5.77467012,0.10272505372
231,13.1945567651633,0.120741737072223,37,0,10228.9004,7.30121994,0.15174501191
232,13.4593159609121,0.147686010419378,12,0.00325732899022801,10668.2002,7.56983995,0.4659039758
233,11.4392523364486,0.194638072310832,14,0,4380.47021,3.0531199,0.11412721157
234,0,NA,1,1,6063.35986,10.2236996,0.37422068475
235,16.3211237373737,0.390828064588942,89,0.00252525252525253,24655.3008,16.6466007,0.09738747683
236,12.991582278481,0.150862607219864,7,0.00506329113924051,13230.5,9.38014984,0.92157397123
237,12.0627142857143,0.205023528660382,39,0.00238095238095238,11866.2002,8.10663033,0.09116755312
238,16.8395816733068,0.262343839964533,92,0.00199203187250996,20760.5,14.0593004,0.06817682612
239,6.31703438395415,1.36220425573518,116,0.54512893982808,52357.1016,37.2002983,0.1033961344
240,12.5420240480962,0.154399195986433,13,0,8542.50977,5.99524021,0.3059009433
241,12.2050967741935,0.203382109742259,26,0.0032258064516129,7685.31006,5.29095984,0.10135182381
242,11.6731487889273,0.210722824308389,12,0.0069204152249135,6088.10986,4.21009016,0.18079410616
243,12.7340625,0.114648365428464,26,0,2606.77002,1.90105999,0.0655546405
244,11.5061818181818,0.214135332377066,27,0.00454545454545455,6405.1499,4.31104994,0.06936364473
245,12.3958091286307,0.167509375356541,9,0,3420.86011,2.46362996,0.21639866446
246,20.5109643547941,0.20142340541185,30,0.00442111080408953,88396.5,61.2939987,1.58350807011
247,13.4044426751592,0.109664421758638,16,0,9494.69043,6.7902298,0.33804446513
248,11.0451968503937,0.400571691921495,23,0.0511811023622047,6353.3501,4.36592007,0.07994559286
249,15.2924801061008,0.449757307368579,89,0.00795755968169761,24060.3008,16.2462997,0.08485442376
250,20.6522696245734,0.129604084983892,93,0.00170648464163823,15960.4004,11.0822001,0.0943241178
251,20.9055512572534,0.0941186429075072,101,0,13882.7002,9.70011997,0.07931800815
252,20.5648843187661,0.116891189562754,108,0,21284.9004,14.7872,0.10522296514
253,13.0828428093645,0.133947225850712,26,0,4515.8501,3.22806001,0.10216581982
254,11.2708035714286,0.279110154370001,26,0,6489.43018,4.38489008,0.07081765287
255,12.6155960264901,0.154674124380769,16,0,6020.33984,4.19969988,0.15336679022
256,12.0825333333333,0.266683466497901,9,0.0177777777777778,5108.27002,3.55105996,0.19465067946
257,17.1744939271255,0.335191719302563,29,0,7349.5,4.9670701,0.09688416632
258,20.5463784021071,0.139920804998038,35,0.00263388937664618,104485,72.7419968,1.67873317586
259,20.2841680672269,0.149943878567466,153,0.00168067226890756,30598.3008,21.2348995,0.11120055416
260,16.2174938574939,0.349791459899752,150,0.00245700245700246,17775.6992,12.0261002,0.03930171575
261,14.2585395537525,0.477304660149715,175,0.0121703853955375,20712.3008,13.8919001,0.0337404453
262,19.8635034013605,0.171115134954057,269,0,35201.3984,24.2933006,0.06712049542
263,13.9948523206751,0.637254719547295,38,0.120956399437412,18373.8008,12.4701004,0.16918689588
264,12.9949003984064,0.165998023917276,7,0.00796812749003984,4544.8999,3.20036006,0.30019054381
265,12.2158309859155,0.193399189846769,8,0.0028169014084507,6602.54004,4.63389015,0.34638326395
266,2.55339130434783,1.52896838688374,216,0.487246376811594,42132.3008,27.8003998,0.02896831602
267,12.5114280601288,0.147899440058791,79,0.00107372942018611,46272.3984,32.7117004,0.28389819619
268,17.2983535353535,0.305583736239485,58,0.00202020202020202,29373.1992,19.9929008,0.19177994544
269,20.0060878378378,0.154916164873166,26,0.00135135135135135,35494,24.6061993,0.723275844
270,11.6919320214669,0.28045907519885,39,0.00536672629695885,13046.5,8.98958969,0.10971547747
271,12.7675,0.17686806546597,31,0.005,3293.83008,2.36565995,0.05898674903
272,12.6719575471698,0.180434659099804,32,0.00471698113207547,6907.43994,4.87409019,0.11169143725
273,12.7740869565217,0.176634358402007,12,0.00217391304347826,8864.7002,6.2013998,0.31043073789
274,12.7797819314642,0.190936841595696,6,0.00623052959501558,5751.29004,4.01892996,0.4378180066
275,11.9451409978308,0.203736332818642,40,0,9945.40039,6.81536007,0.09513811381
276,12.2775274725275,0.167269482306297,31,0.00549450549450549,2805.40991,1.99073994,0.05127553492
277,11.8834753857458,0.253738480603603,65,0.00440852314474651,27638.5,19.2455006,0.16266250038
278,13.2477738515901,0.082641760720458,49,0,4630.3501,3.3246901,0.05671253117
279,13.2463605442177,0.0932788215902697,49,0,4845.14014,3.45983005,0.05755138202
280,13.1608823529412,0.0976419249539219,58,0,8139.33984,5.90269995,0.08481092779
281,12.6970146403565,0.162677587160651,59,0.00063653723742839,30567.5,21.3754005,0.22087253566
